Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2022,May,Al Wajh,14,953
OUT,Domestic,2022,May,Yenbo,31,3289
IN,Domestic,2022,Jun,Riyadh,4545,542449
OUT,Domestic,2022,Jun,Abha,503,74295
OUT,Domestic,2022,Jun,Al-Jawf,118,12874
OUT,Domestic,2022,Jun,Al-Ula,18,1801
OUT,Domestic,2022,Jun,Arar,81,9677
OUT,Domestic,2022,Jun,Bisha,76,9578
OUT,Domestic,2022,Jun,Dammam,407,48515
OUT,Domestic,2022,Jun,Al-Bahah,72,7729
OUT,Domestic,2022,Jun,Hafr Al-batin,60,7423
OUT,Domestic,2022,Jun,Hail,168,17896
OUT,Domestic,2022,Jun,Jeddah,1408,221486
OUT,Domestic,2022,Jun,Jizan,377,42341
OUT,Domestic,2022,Jun,Madinah,327,39221
OUT,Domestic,2022,Jun,Najran,151,20196
OUT,Domestic,2022,Jun,NEOM,13,1271
OUT,Domestic,2022,Jun,Qassim,60,5763
OUT,Domestic,2022,Jun,Qurayyat,60,8443
OUT,Domestic,2022,Jun,Rafha,26,3153
OUT,Domestic,2022,Jun,Sharurah,51,5082
OUT,Domestic,2022,Jun,Tabuk,241,29183
OUT,Domestic,2022,Jun,Taif,232,23164
OUT,Domestic,2022,Jun,Turaif,25,2702
OUT,Domestic,2022,Jun,WADI AL-DAWASER,30,3385
OUT,Domestic,2022,Jun,Al Wajh,13,1204
OUT,Domestic,2022,Jun,Yenbo,30,3404
IN,Domestic,2022,Jul,Riyadh,4531,585731
OUT,Domestic,2022,Jul,Abha,566,96038
OUT,Domestic,2022,Jul,Al-Jawf,123,13133
OUT,Domestic,2022,Jul,Al-Ula,23,1890
OUT,Domestic,2022,Jul,Arar,83,9325
OUT,Domestic,2022,Jul,Bisha,79,10090
OUT,Domestic,2022,Jul,Dammam,388,40091
OUT,Domestic,2022,Jul,Al-Bahah,90,11865
OUT,Domestic,2022,Jul,Hafr Al-batin,62,7562
OUT,Domestic,2022,Jul,Hail,151,15281
OUT,Domestic,2022,Jul,Jeddah,1393,217227
OUT,Domestic,2022,Jul,Jizan,371,44272
OUT,Domestic,2022,Jul,Madinah,307,39203
OUT,Domestic,2022,Jul,Najran,149,19714
OUT,Domestic,2022,Jul,NEOM,13,1153
OUT,Domestic,2022,Jul,Qassim,63,5258
OUT,Domestic,2022,Jul,Qurayyat,62,8479
OUT,Domestic,2022,Jul,Rafha,26,2990
OUT,Domestic,2022,Jul,Sharurah,53,5955
OUT,Domestic,2022,Jul,Tabuk,254,28790
OUT,Domestic,2022,Jul,Taif,213,28481
OUT,Domestic,2022,Jul,Turaif,27,2896
OUT,Domestic,2022,Jul,WADI AL-DAWASER,31,3212
OUT,Domestic,2022,Jul,Al Wajh,13,981
OUT,Domestic,2022,Jul,Yenbo,31,3043
